number,date,player1,player2,player3,note,url,id,season
4684,2005-01-06,Kerry Breitenbach,Alli Hammond,Nick Hoffmann,Kerry Breitenbach game 5.,http://www.j-archive.com/showgame.php?game_id=100,100,21
4683,2005-01-05,Kerry Breitenbach,Harry Hall,Val Nieman,Kerry Breitenbach game 4.,http://www.j-archive.com/showgame.php?game_id=99,99,21
4682,2005-01-04,Kerry Breitenbach,Chris Mullins,Inez Friedman-Boyce,Kerry Breitenbach game 3.,http://www.j-archive.com/showgame.php?game_id=98,98,21
4681,2005-01-03,Kerry Breitenbach,David Jackman,Mia Hasouris,Kerry Breitenbach game 2.,http://www.j-archive.com/showgame.php?game_id=97,97,21
4680,2004-12-31,Maura Gatowski,Kerry Breitenbach,Michael Starsinic,Kerry Breitenbach game 1.,http://www.j-archive.com/showgame.php?game_id=96,96,21
4679,2004-12-30,Eric Schwendeman,Doug Esker,Maura Gatowski,,http://www.j-archive.com/showgame.php?game_id=95,95,21
4678,2004-12-29,Laurie Genevro Cole,Eric Schwendeman,Larry Haney,,http://www.j-archive.com/showgame.php?game_id=94,94,21
4677,2004-12-28,Aaron Thompson,Laurie Genevro Cole,Dan Suzman,Aaron Thompson game 4.,http://www.j-archive.com/showgame.php?game_id=91,91,21
4676,2004-12-27,Aaron Thompson,Christian Mastrodonato,David Gibbs,Aaron Thompson game 3.,http://www.j-archive.com/showgame.php?game_id=89,89,21
4675,2004-12-24,Aaron Thompson,Paul Boyer,Catherine Ewen,Aaron Thompson game 2.,http://www.j-archive.com/showgame.php?game_id=87,87,21
4674,2004-12-23,Hugh Price,Aaron Thompson,Jessica Ayers,Aaron Thompson game 1.,http://www.j-archive.com/showgame.php?game_id=82,82,21
4673,2004-12-22,Dale Masel,Hugh Price,David Camp,,http://www.j-archive.com/showgame.php?game_id=78,78,21
4672,2004-12-21,Lyle Brenner,Dale Masel,Emily Lawrence,,http://www.j-archive.com/showgame.php?game_id=77,77,21
4671,2004-12-20,Grayson Holmes,Michael Kalk,Lyle Brenner,,http://www.j-archive.com/showgame.php?game_id=76,76,21
4670,2004-12-17,Grayson Holmes,Jennifer West,Harry Sering,,http://www.j-archive.com/showgame.php?game_id=75,75,21
4669,2004-12-16,Joel Kahn,Grayson Holmes,Cliff Kowalczyk,,http://www.j-archive.com/showgame.php?game_id=74,74,21
4668,2004-12-15,Joel Kahn,Ethan de Seife,Maureen McKay,,http://www.j-archive.com/showgame.php?game_id=73,73,21
4667,2004-12-14,Robert Bowsher,Joel Kahn,Jerry Mayer,,http://www.j-archive.com/showgame.php?game_id=72,72,21
4666,2004-12-13,Robert Bowsher,Snow Tempest,David Davalos,,http://www.j-archive.com/showgame.php?game_id=71,71,21
4665,2004-12-10,Tom McCudden,Robert Bowsher,Colette Moran,,http://www.j-archive.com/showgame.php?game_id=70,70,21
4664,2004-12-09,Megan Susman,Karen Lafferty,Tom McCudden,,http://www.j-archive.com/showgame.php?game_id=69,69,21
4663,2004-12-08,Jackie Cipa,Alex Bready,Megan Susman,,http://www.j-archive.com/showgame.php?game_id=68,68,21
4662,2004-12-07,Dennis Grace,Jackie Cipa,Shelley Singh,,http://www.j-archive.com/showgame.php?game_id=67,67,21
4661,2004-12-06,Pete DeBalli,Dennis Grace,Andy Zimdars,,http://www.j-archive.com/showgame.php?game_id=66,66,21
4660,2004-12-03,Katie Fitzgerald,Pete DeBalli,Kord Heinemann,,http://www.j-archive.com/showgame.php?game_id=65,65,21
4659,2004-12-02,Katie Fitzgerald,Sherri Benoun,Josh Kolchins,,http://www.j-archive.com/showgame.php?game_id=64,64,21
4658,2004-12-01,Nancy Zerg,Nathan Brownback,Katie Fitzgerald,Ken Jennings is brought out at the beginning to be...,http://www.j-archive.com/showgame.php?game_id=63,63,21
4657,2004-11-30,Ken Jennings,Nancy Zerg,David Hankins,Ken Jennings game 75. Nancy Zerg ends Ken's streak. (Jerry...,http://www.j-archive.com/showgame.php?game_id=62,62,21
4656,2004-11-29,Ken Jennings,Rob Kimbro,Kathi Fry,Ken Jennings game 74.,http://www.j-archive.com/showgame.php?game_id=61,61,21
4655,2004-11-26,Ken Jennings,Andrew Smith,Sanda Kurtz,Ken Jennings game 73.,http://www.j-archive.com/showgame.php?game_id=60,60,21
4654,2004-11-25,Ken Jennings,Philip Graves,Whitney Donaghy,Ken Jennings game 72.,http://www.j-archive.com/showgame.php?game_id=59,59,21
4653,2004-11-24,Ken Jennings,Lisa Buckhout,Dan Ford,Ken Jennings game 71. Ken sets a new second-highest single-day...,http://www.j-archive.com/showgame.php?game_id=58,58,21
4652,2004-11-23,Kermin Fleming,Rachel McCool,Ari Schoenholtz,2004 College Championship final game 2.,http://www.j-archive.com/showgame.php?game_id=57,57,21
4651,2004-11-22,Kermin Fleming,Rachel McCool,Ari Schoenholtz,2004 College Championship final game 1.,http://www.j-archive.com/showgame.php?game_id=56,56,21
4650,2004-11-19,Kermin Fleming,Kelley Burd,Lindsey Hargrove,2004 College Championship semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=55,55,21
4649,2004-11-18,Lily Wang,Rachel McCool,Amory Jendrek,2004 College Championship semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=54,54,21
4648,2004-11-17,Casey Retterer,Ari Schoenholtz,Vicky Manos,2004 College Championship semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=53,53,21
4647,2004-11-16,Rachel McCool,Brad Selvig,Christina Maes,2004 College Championship quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=52,52,21
4646,2004-11-15,Lily Wang,Ari Schoenholtz,Lindsey Hargrove,2004 College Championship quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=51,51,21
4645,2004-11-12,Larry Marshall,Kelley Burd,Matt Bushell,2004 College Championship quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=50,50,21
4644,2004-11-11,Amanda Nowotny,Jeff Love,Vicky Manos,2004 College Championship quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=49,49,21
4643,2004-11-10,Kermin Fleming,Amory Jendrek,Casey Retterer,2004 College Championship quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=48,48,21
4642,2004-11-09,Ken Jennings,Jeff Hoppes,Dave Oosterhuis,Ken Jennings game 70.,http://www.j-archive.com/showgame.php?game_id=47,47,21
4641,2004-11-08,Ken Jennings,Robert Kirkpatrick,Jennifer Peebles,Ken Jennings game 69.,http://www.j-archive.com/showgame.php?game_id=46,46,21
4640,2004-11-06,Ken Jennings,Ryan Cook,Leo Wolpert,Ken Jennings game 68. U.S. presidential election coverage on 2004-11-02...,http://www.j-archive.com/showgame.php?game_id=45,45,21
4639,2004-11-05,Ken Jennings,John Murray,Elizabeth Costello,Ken Jennings game 67.,http://www.j-archive.com/showgame.php?game_id=44,44,21
4638,2004-11-04,Ken Jennings,Jerry Taggart,Jennifer Knapp,Ken Jennings game 66.,http://www.j-archive.com/showgame.php?game_id=43,43,21
4637,2004-11-03,Ken Jennings,Denise Tanyol,Rob Perry,Ken Jennings game 65. Ken breaks Kevin Olmstead's record for...,http://www.j-archive.com/showgame.php?game_id=42,42,21
4636,2004-11-01,Ken Jennings,Ben Wiles,Lisa Ellis,Ken Jennings game 64.,http://www.j-archive.com/showgame.php?game_id=41,41,21
4635,2004-10-29,Ken Jennings,Brian Shipley,Sandy Grimwade,Ken Jennings game 63. Ken gets his tenth consecutive correct...,http://www.j-archive.com/showgame.php?game_id=40,40,21
4634,2004-10-28,Ken Jennings,Lori Ann Tennant,Bob Joseph,Ken Jennings game 62.,http://www.j-archive.com/showgame.php?game_id=39,39,21
4633,2004-10-27,Ken Jennings,Adam Villani,Merritt Hamilton Allen,Ken Jennings game 61.,http://www.j-archive.com/showgame.php?game_id=38,38,21
4632,2004-10-26,Ken Jennings,Jeff Matthews,Mary Carpenter,Ken Jennings game 60.,http://www.j-archive.com/showgame.php?game_id=37,37,21
4631,2004-10-25,Ken Jennings,Jennifer Harriss,Nathan Gordon,"Ken Jennings game 59.

Ken breaks the $2 million mark.",http://www.j-archive.com/showgame.php?game_id=36,36,21
4630,2004-10-22,Ross Gardiner,Theodora Messalas,Patrick Zakem,2004-B Kids Week game 5.,http://www.j-archive.com/showgame.php?game_id=35,35,21
4629,2004-10-21,Lorna Johnson,Edward Lee,Alex Nutman,2004-B Kids Week game 4.,http://www.j-archive.com/showgame.php?game_id=34,34,21
4628,2004-10-20,Josh Klein,Grace Thomas,Tamika Turner,2004-B Kids Week game 3.,http://www.j-archive.com/showgame.php?game_id=33,33,21
4627,2004-10-19,Jake Houser,Nithya Kubendran,Emily Riippa,2004-B Kids Week game 2.,http://www.j-archive.com/showgame.php?game_id=32,32,21
4626,2004-10-18,Megan Fraedrich,Tim Koch,Kelly Scurry,2004-B Kids Week game 1.,http://www.j-archive.com/showgame.php?game_id=31,31,21
4625,2004-10-15,Ken Jennings,Josh Rosenfeld,José Ruiz Jr.,Ken Jennings game 58.,http://www.j-archive.com/showgame.php?game_id=30,30,21
4624,2004-10-14,Ken Jennings,Graham House,K.C. Backer,"Ken Jennings game 57. (Tie Domi: Hi, I'm Tie Domi...",http://www.j-archive.com/showgame.php?game_id=29,29,21
4623,2004-10-13,Ken Jennings,Marielle Poss,Larry Bellinger,Ken Jennings game 56.,http://www.j-archive.com/showgame.php?game_id=28,28,21
4622,2004-10-12,Ken Jennings,Matt Kleinmaier,Marcy Palino,Ken Jennings game 55. (Jimmy: Howdy! Come along and sing...,http://www.j-archive.com/showgame.php?game_id=27,27,21
4621,2004-10-11,Ken Jennings,Sunny Schomaker,Tristan Mabry,Ken Jennings game 54. (Cheryl: Go to outer space without...,http://www.j-archive.com/showgame.php?game_id=26,26,21
4620,2004-10-08,Ken Jennings,Aimee Watson,Al Lindke,Ken Jennings game 53.,http://www.j-archive.com/showgame.php?game_id=25,25,21
4619,2004-10-07,Ken Jennings,Steve Kornya,Jennifer Lord,Ken Jennings game 52.,http://www.j-archive.com/showgame.php?game_id=24,24,21
4618,2004-10-06,Ken Jennings,Kathryn Dorminey,Bill Carter,Ken Jennings game 51.,http://www.j-archive.com/showgame.php?game_id=23,23,21
4617,2004-10-05,Ken Jennings,Pat Greene,Jay Wolman,Ken Jennings game 50.,http://www.j-archive.com/showgame.php?game_id=22,22,21
4616,2004-10-04,Ken Jennings,Jeff Suchard,Beth Salkind,Ken Jennings game 49. The first regular play game of...,http://www.j-archive.com/showgame.php?game_id=21,21,21
4615,2004-10-01,Arthur Gandolfi,Tom Walsh,Russ Schumacher,2004 Tournament of Champions final game 2.,http://www.j-archive.com/showgame.php?game_id=20,20,21
4614,2004-09-30,Arthur Gandolfi,Tom Walsh,Russ Schumacher,2004 Tournament of Champions final game 1.,http://www.j-archive.com/showgame.php?game_id=19,19,21
4613,2004-09-29,Tom Baker,Arthur Gandolfi,Steve Reynolds,2004 Tournament of Champions semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=18,18,21
4612,2004-09-28,Tom Walsh,Anne Boyd,Chris Miller,2004 Tournament of Champions semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=17,17,21
4611,2004-09-27,Russ Schumacher,Seth Alcorn,Vinita Kailasanath,2004 Tournament of Champions semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=16,16,21
4610,2004-09-24,Sean Ryan,Anne Boyd,Jim Stalley,2004 Tournament of Champions quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=15,15,21
4609,2004-09-23,Chris Miller,Tom Baker,Russ Schumacher,2004 Tournament of Champions quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=14,14,21
4608,2004-09-22,John Beck,Scott Renzoni,Vinita Kailasanath,2004 Tournament of Champions quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=13,13,21
4607,2004-09-21,Tom Walsh,Seth Alcorn,Steve Reynolds,2004 Tournament of Champions quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=12,12,21
4606,2004-09-20,Arthur Gandolfi,Sam Ott,Keith Williams,2004 Tournament of Champions quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=11,11,21
4605,2004-09-17,Ken Jennings,Marilyn Werner,Greg Taylor,Ken Jennings game 48.,http://www.j-archive.com/showgame.php?game_id=10,10,21
4604,2004-09-16,Ken Jennings,John Cook,Elaine Skopelja,Ken Jennings game 47.,http://www.j-archive.com/showgame.php?game_id=9,9,21
4603,2004-09-15,Ken Jennings,Cara Butler,David Fishbach,Ken Jennings game 46.,http://www.j-archive.com/showgame.php?game_id=8,8,21
4602,2004-09-14,Ken Jennings,Kate Duffy,Robert Quinn,Ken Jennings game 45.,http://www.j-archive.com/showgame.php?game_id=7,7,21
4601,2004-09-13,Ken Jennings,Dana Dolan,Bruce England,Ken Jennings game 44.,http://www.j-archive.com/showgame.php?game_id=6,6,21
4600,2004-09-10,Ken Jennings,Kollin Min,Bill Scheller,Ken Jennings game 43.,http://www.j-archive.com/showgame.php?game_id=5,5,21
4599,2004-09-09,Ken Jennings,Amy Helmes,Todd Perkins,Ken Jennings game 42.,http://www.j-archive.com/showgame.php?game_id=4,4,21
4598,2004-09-08,Ken Jennings,Adam Meyer,Laura Gustafson,Ken Jennings game 41.,http://www.j-archive.com/showgame.php?game_id=3,3,21
4597,2004-09-07,Ken Jennings,Bob Watts,Rich Hartz,Ken Jennings game 40.,http://www.j-archive.com/showgame.php?game_id=2,2,21
4596,2004-09-06,Ken Jennings,Betsey Casman,J.D. Smith,"Ken Jennings game 39.
First game of Season 21.  New title graphics.",http://www.j-archive.com/showgame.php?game_id=1,1,21
5055,2006-07-28,Eugene Manning,Reda Chambers,Brad Jeffcoat,Last game of Season 22.,http://www.j-archive.com/showgame.php?game_id=1175,1175,22
5054,2006-07-27,Celeste DiNucci,Eugene Manning,Danelle Johnson,Celeste DiNucci game 6.,http://www.j-archive.com/showgame.php?game_id=1174,1174,22
5053,2006-07-26,Celeste DiNucci,Matthew Mitchell,Theresa Kenny,Celeste DiNucci game 5.,http://www.j-archive.com/showgame.php?game_id=1173,1173,22
5052,2006-07-25,Celeste DiNucci,Brent Tabacchi,Debra Mack,Celeste DiNucci game 4.,http://www.j-archive.com/showgame.php?game_id=1172,1172,22
5051,2006-07-24,Celeste DiNucci,Erika Austin,Margaret J. McCarthy,Celeste DiNucci game 3.,http://www.j-archive.com/showgame.php?game_id=1171,1171,22
5050,2006-07-21,Celeste DiNucci,Alex Hunnicutt,Steve Bingo,Celeste DiNucci game 2.,http://www.j-archive.com/showgame.php?game_id=1170,1170,22
5049,2006-07-20,Inie Park,Jim Mainguy,Celeste DiNucci,Celeste DiNucci game 1.,http://www.j-archive.com/showgame.php?game_id=1164,1164,22
5048,2006-07-19,Bruce Lin,Inie Park,Matt Mullins,,http://www.j-archive.com/showgame.php?game_id=1158,1158,22
5047,2006-07-18,Bruce Lin,Ann Rupel,Justin Budinoff,,http://www.j-archive.com/showgame.php?game_id=1157,1157,22
5046,2006-07-17,Bruce Lin,Jennifer Laam,Scott Ahearn,,http://www.j-archive.com/showgame.php?game_id=1156,1156,22
5045,2006-07-14,Eric Allen,Lisa Llanes-Simpson,Bruce Lin,,http://www.j-archive.com/showgame.php?game_id=1130,1130,22
5044,2006-07-13,Susan Matejko,Eric Allen,Rebecca Pinchoff,,http://www.j-archive.com/showgame.php?game_id=1125,1125,22
5043,2006-07-12,David Nikithser,Susan Matejko,Tom Waskom,,http://www.j-archive.com/showgame.php?game_id=1118,1118,22
5042,2006-07-11,David Nikithser,Dena Martin,Louis Rice,,http://www.j-archive.com/showgame.php?game_id=1116,1116,22
5041,2006-07-10,Rich Small,Hanna Miller,David Nikithser,,http://www.j-archive.com/showgame.php?game_id=1114,1114,22
5040,2006-07-07,Rich Small,Brett McGlasson,Erin Weiss,,http://www.j-archive.com/showgame.php?game_id=1110,1110,22
5039,2006-07-06,Seth Supcoff,Rich Small,Jo Davidson,,http://www.j-archive.com/showgame.php?game_id=1111,1111,22
5038,2006-07-05,Michelle Bondurant,Seth Supcoff,Vanessa Meikle,,http://www.j-archive.com/showgame.php?game_id=1107,1107,22
5037,2006-07-04,Susannah Jacobson,Michelle Bondurant,A.K. Subramanian,,http://www.j-archive.com/showgame.php?game_id=1106,1106,22
5036,2006-07-03,Susannah Jacobson,Mike Pesca,Judy Rudnick,,http://www.j-archive.com/showgame.php?game_id=1099,1099,22
5035,2006-06-30,Jennifer Casey,Jeff Knorr,Susannah Jacobson,,http://www.j-archive.com/showgame.php?game_id=1082,1082,22
5034,2006-06-29,Sidney Tison,John Hooper,Jennifer Casey,,http://www.j-archive.com/showgame.php?game_id=1080,1080,22
5033,2006-06-28,Mark Edelson,Cait Murphy,Sidney Tison,,http://www.j-archive.com/showgame.php?game_id=1078,1078,22
5032,2006-06-27,Mark Edelson,Ryan McMillen,Priya Bhatia Yerasi,,http://www.j-archive.com/showgame.php?game_id=1071,1071,22
5031,2006-06-26,Chris Knight,Joan Belen,Mark Edelson,,http://www.j-archive.com/showgame.php?game_id=1068,1068,22
5030,2006-06-23,Theresa Larson,Chris Knight,John Perez,,http://www.j-archive.com/showgame.php?game_id=1060,1060,22
5029,2006-06-22,Clark Floyd,Kathy Damstra,Theresa Larson,,http://www.j-archive.com/showgame.php?game_id=1058,1058,22
5028,2006-06-21,Clark Floyd,Amanda Ross-White,Tony Mahler,,http://www.j-archive.com/showgame.php?game_id=1052,1052,22
5027,2006-06-20,Josh Kennedy,Sioux Stoeckle,Clark Floyd,,http://www.j-archive.com/showgame.php?game_id=1051,1051,22
5026,2006-06-19,Josh Kennedy,Leigh Hall,David Ono,,http://www.j-archive.com/showgame.php?game_id=1048,1048,22
5025,2006-06-16,Craig Westphal,Gerald Bergen,Josh Kennedy,Craig Westphal game 6.,http://www.j-archive.com/showgame.php?game_id=1043,1043,22
5024,2006-06-15,Craig Westphal,Doug O'Brien,Maggie Parcells,Craig Westphal game 5.,http://www.j-archive.com/showgame.php?game_id=1041,1041,22
5023,2006-06-14,Craig Westphal,Danielle Kolker,Bob Puett,Craig Westphal game 4.,http://www.j-archive.com/showgame.php?game_id=1040,1040,22
5022,2006-06-13,Craig Westphal,Lisa Kushida,Don Tenney,Craig Westphal game 3.,http://www.j-archive.com/showgame.php?game_id=1038,1038,22
5021,2006-06-12,Craig Westphal,Matt Wauben,Bill Weylock,Craig Westphal game 2.,http://www.j-archive.com/showgame.php?game_id=1024,1024,22
5020,2006-06-09,Roberta Ellington,Thomas Talbot,Craig Westphal,Craig Westphal game 1.,http://www.j-archive.com/showgame.php?game_id=1023,1023,22
5019,2006-06-08,Roberta Ellington,Jessica Tanner,Kerry Rucidlo,,http://www.j-archive.com/showgame.php?game_id=1019,1019,22
5018,2006-06-07,Dan Sander,Roberta Ellington,Quinn Saunders,,http://www.j-archive.com/showgame.php?game_id=1017,1017,22
5017,2006-06-06,Dan Sander,Stefanie Morales,Marcia Jensen,,http://www.j-archive.com/showgame.php?game_id=1014,1014,22
5016,2006-06-05,Dan Sander,Audrey Ng,Bill Duncliffe,,http://www.j-archive.com/showgame.php?game_id=1013,1013,22
5015,2006-06-02,Jonathan Spencer,Dan Sander,Richard Vehlow,,http://www.j-archive.com/showgame.php?game_id=995,995,22
5014,2006-06-01,Nathan Meyers,Kathy Daum,Jonathan Spencer,,http://www.j-archive.com/showgame.php?game_id=993,993,22
5013,2006-05-31,Eric Dolansky,Steve Friedman,Nathan Meyers,,http://www.j-archive.com/showgame.php?game_id=986,986,22
5012,2006-05-30,Eric Dolansky,Kristen Meinhold,Ken Hinton,,http://www.j-archive.com/showgame.php?game_id=984,984,22
5011,2006-05-29,Keith Suta,Amy Cash,Eric Dolansky,,http://www.j-archive.com/showgame.php?game_id=983,983,22
5010,2006-05-26,Robb Muhm,Keith Suta,Stella Daily,,http://www.j-archive.com/showgame.php?game_id=980,980,22
5009,2006-05-25,Tricia Barreiro,Robb Muhm,Julie Backer,,http://www.j-archive.com/showgame.php?game_id=979,979,22
5008,2006-05-24,Tricia Barreiro,Matt Sojot,Karla Sortland,,http://www.j-archive.com/showgame.php?game_id=977,977,22
5007,2006-05-23,Harvey Cormier,Devin Landin,Tricia Barreiro,,http://www.j-archive.com/showgame.php?game_id=975,975,22
5006,2006-05-22,Dan McLeod,Harvey Cormier,John Rivers,,http://www.j-archive.com/showgame.php?game_id=973,973,22
5005,2006-05-19,Bill MacDonald,Michael Falk,Vik Vaz,2006 Tournament of Champions final game 2.,http://www.j-archive.com/showgame.php?game_id=971,971,22
5004,2006-05-18,Bill MacDonald,Michael Falk,Vik Vaz,2006 Tournament of Champions final game 1.,http://www.j-archive.com/showgame.php?game_id=969,969,22
5003,2006-05-17,Michael Falk,Jason Richards,Maria Wenglinsky,2006 Tournament of Champions semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=968,968,22
5002,2006-05-16,David Madden,Bill MacDonald,Kevin Marshall,2006 Tournament of Champions semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=966,966,22
5001,2006-05-15,Vik Vaz,Aaron Thompson,Bob Mesko,2006 Tournament of Champions semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=965,965,22
5000,2006-05-12,Tom Kavanaugh,Bill MacDonald,Nico Martinez,2006 Tournament of Champions quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=962,962,22
4999,2006-05-11,Michael Falk,David Madden,Bob Mesko,2006 Tournament of Champions quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=959,959,22
4998,2006-05-10,Kerry Breitenbach,Jason Richards,Vik Vaz,2006 Tournament of Champions quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=958,958,22
4997,2006-05-09,Kevin Marshall,David Rozenson,Aaron Thompson,2006 Tournament of Champions quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=956,956,22
4996,2006-05-08,Doug Dorst,Kermin Fleming,Maria Wenglinsky,2006 Tournament of Champions quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=954,954,22
4995,2006-05-05,Bob Collins,Dan McLeod,Karmie Johnson,,http://www.j-archive.com/showgame.php?game_id=950,950,22
4994,2006-05-04,Robbi Rogers,Bob Collins,Stephanie Smith,,http://www.j-archive.com/showgame.php?game_id=949,949,22
4993,2006-05-03,Laura Brown,Luke Walker,Robbi Rogers,,http://www.j-archive.com/showgame.php?game_id=946,946,22
4992,2006-05-02,Fred Schultz,Laura Brown,Matt Garbett,,http://www.j-archive.com/showgame.php?game_id=944,944,22
4991,2006-05-01,Fred Schultz,Nathan Thornton,Barbara Tarlau,,http://www.j-archive.com/showgame.php?game_id=943,943,22
4990,2006-04-28,Don Minyard,Fred Schultz,Lisa Izes,,http://www.j-archive.com/showgame.php?game_id=938,938,22
4989,2006-04-27,Michael Lapthorn,Jaime Thomson,Don Minyard,,http://www.j-archive.com/showgame.php?game_id=936,936,22
4988,2006-04-26,Gigi Gilman,Margaret Holz,Michael Lapthorn,,http://www.j-archive.com/showgame.php?game_id=933,933,22
4987,2006-04-25,Doug Dorst,Theo Caldwell,Gigi Gilman,Doug Dorst game 4.,http://www.j-archive.com/showgame.php?game_id=930,930,22
4986,2006-04-24,Doug Dorst,Greg Little,Jacqueline Lovell,Doug Dorst game 3.,http://www.j-archive.com/showgame.php?game_id=927,927,22
4985,2006-04-21,Doug Dorst,Sally Vaughn,Jimmie Bise Jr.,Doug Dorst game 2.,http://www.j-archive.com/showgame.php?game_id=923,923,22
4984,2006-04-20,Kathleen Larkey,Doug Dorst,Erika Engstrom,Doug Dorst game 1. Portions of the Double Jeopardy! round...,http://www.j-archive.com/showgame.php?game_id=918,918,22
4983,2006-04-19,Bob Mesko,Kathleen Larkey,Rodney Waites,Bob Mesko game 6.,http://www.j-archive.com/showgame.php?game_id=917,917,22
4982,2006-04-18,Bob Mesko,Luis Sandoval,Melissa Garber,Bob Mesko game 5.,http://www.j-archive.com/showgame.php?game_id=915,915,22
4981,2006-04-17,Brian Lamb,Bob Mesko,Holly Owens,Bob Mesko game 4-B.,http://www.j-archive.com/showgame.php?game_id=913,913,22
4980,2006-04-14,Brian Lamb,Nissan Cohen,Liana Garcia,,http://www.j-archive.com/showgame.php?game_id=910,910,22
4979,2006-04-13,Melissa Ahart,Brian Lamb,Raena de Silvia,,http://www.j-archive.com/showgame.php?game_id=906,906,22
4978,2006-04-12,Kathy Lisiewicz,Melissa Ahart,Tom Ricketts,,http://www.j-archive.com/showgame.php?game_id=904,904,22
4977,2006-04-11,William Lee,Kathy Lisiewicz,Dan Lee,,http://www.j-archive.com/showgame.php?game_id=901,901,22
4976,2006-04-10,William Lee,Van Tarpley,John Dickas,,http://www.j-archive.com/showgame.php?game_id=898,898,22
4975,2006-04-07,Michael Falk,William Lee,Melanie Madden,Michael Falk game 4.,http://www.j-archive.com/showgame.php?game_id=891,891,22
4974,2006-04-06,Michael Falk,Stacy McKnight,Peggy Till,Michael Falk game 3.,http://www.j-archive.com/showgame.php?game_id=892,892,22
4973,2006-04-05,Michael Falk,Suzan Reiner,Rory Cowan,Michael Falk game 2.,http://www.j-archive.com/showgame.php?game_id=887,887,22
4972,2006-04-04,Craig Mobley,Michael Falk,Lizard Hogge,Michael Falk game 1. (Alex: The Sesame Street gang will...,http://www.j-archive.com/showgame.php?game_id=885,885,22
4971,2006-04-03,Craig Mobley,Wendy Brown,Rena Miller,,http://www.j-archive.com/showgame.php?game_id=882,882,22
4970,2006-03-31,Doc Hamilton,Chrissy Hoffman,Craig Mobley,,http://www.j-archive.com/showgame.php?game_id=879,879,22
4969,2006-03-30,Ben Goggins,Barbara Watkins,Doc Hamilton,,http://www.j-archive.com/showgame.php?game_id=876,876,22
4968,2006-03-29,Ben Goggins,Ed Lewis,Dustin Burke,,http://www.j-archive.com/showgame.php?game_id=873,873,22
4967,2006-03-28,Nemanja Dundjerovic,Ben Goggins,Amanda Mapel,,http://www.j-archive.com/showgame.php?game_id=871,871,22
4966,2006-03-27,Ed Angleton,Trisha Murai,Nemanja Dundjerovic,,http://www.j-archive.com/showgame.php?game_id=869,869,22
4965,2006-03-24,Ed Angleton,Lars Jacobsen,Louise Hauser,,http://www.j-archive.com/showgame.php?game_id=858,858,22
4964,2006-03-23,Mary LoSardo,Jessica Liese,Ed Angleton,,http://www.j-archive.com/showgame.php?game_id=856,856,22
4963,2006-03-22,Patricia DiMaggio,Mary LoSardo,Dave Binnig,,http://www.j-archive.com/showgame.php?game_id=853,853,22
4962,2006-03-21,Kate Miller,Patricia DiMaggio,Margaret Kickliter,,http://www.j-archive.com/showgame.php?game_id=851,851,22
4961,2006-03-20,James Washick,Eric Heaton,Kate Miller,,http://www.j-archive.com/showgame.php?game_id=849,849,22
4960,2006-03-17,Scott Gardiner,Lara Beaton,James Washick,,http://www.j-archive.com/showgame.php?game_id=844,844,22
4959,2006-03-16,Christine Black,Mike Hagesfeld,Scott Gardiner,,http://www.j-archive.com/showgame.php?game_id=843,843,22
4958,2006-03-15,John Ward,Christine Black,Nick Ruiz,,http://www.j-archive.com/showgame.php?game_id=840,840,22
4957,2006-03-14,Chris Smith,Erynn Masi de Casanova,John Ward,,http://www.j-archive.com/showgame.php?game_id=837,837,22
4956,2006-03-13,Chris Smith,Gerald McClanahan,Lucretia Manning,,http://www.j-archive.com/showgame.php?game_id=836,836,22
4955,2006-03-10,Randy Logan,Brett Crawford,Chris Smith,,http://www.j-archive.com/showgame.php?game_id=831,831,22
4954,2006-03-09,Randy Logan,Denise Hay,Mary Danieli,,http://www.j-archive.com/showgame.php?game_id=829,829,22
4953,2006-03-08,Alicia Aho,Erin Glover,Randy Logan,"(Cheryl: The patients may have four legs or none, but...",http://www.j-archive.com/showgame.php?game_id=827,827,22
4952,2006-03-07,Bruce Brown,Alicia Aho,Michael Smith,,http://www.j-archive.com/showgame.php?game_id=824,824,22
