number,date,player1,player2,player3,note,url,id,season
2122,1993-11-23,Ed Schiffer,Marilyn Kneeland,Leslie Miller,1993 Tournament of Champions semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=1427,1427,10
2121,1993-11-22,Dennis Donohue,Phoebe Juel,Tom Nosek,1993 Tournament of Champions semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=1426,1426,10
2120,1993-11-19,Diane Siegel,Al Lin,Jack Mahoney,1993 Tournament of Champions quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=1423,1423,10
2119,1993-11-18,Tom Nosek,Debby Arnold,Fraser Woodford,1993 Tournament of Champions quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=1422,1422,10
2118,1993-11-17,Leslie Miller,Walt Senterfitt,David Tiemann,1993 Tournament of Champions quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=1411,1411,10
2117,1993-11-16,Ed Schiffer,Linda Sheppard,Phoebe Juel,1993 Tournament of Champions quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=1410,1410,10
2116,1993-11-15,Bev Schwartzberg,Dennis Donohue,Marilyn Kneeland,1993 Tournament of Champions quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=1408,1408,10
2115,1993-11-12,Harry Anderson,Tim Daly,Sinbad,1993 Celebrity Jeopardy! game 5.,http://www.j-archive.com/showgame.php?game_id=4226,4226,10
2114,1993-11-11,Jerry Orbach,Tabitha Soren,Jay Thomas,1993 Celebrity Jeopardy! game 4.,http://www.j-archive.com/showgame.php?game_id=4223,4223,10
2113,1993-11-10,Kelsey Grammer,Paula Poundstone,Michael Feinstein,1993 Celebrity Jeopardy! game 3.,http://www.j-archive.com/showgame.php?game_id=4224,4224,10
2112,1993-11-09,Ed Asner,Teri Garr,Pat Sajak,1993 Celebrity Jeopardy! game 2.,http://www.j-archive.com/showgame.php?game_id=3954,3954,10
2111,1993-11-08,Leslie Nielsen,Elayne Boosler,Dean Cain,1993 Celebrity Jeopardy! game 1.,http://www.j-archive.com/showgame.php?game_id=4225,4225,10
2108,1993-11-03,Michael Keller,Jackie Moore,Patrick Fay,Drawing for Season 5 & Season 6 players for the 10th Anniversary Tournament.,http://www.j-archive.com/showgame.php?game_id=4563,4563,10
2107,1993-11-02,Peter Gay,Ann Hutcheson,Michael Keller,Drawing for Season 3 & Season 4 players for the 10th Anniversary Tournament.,http://www.j-archive.com/showgame.php?game_id=4107,4107,10
2106,1993-11-01,Steven McKenna,Peter Gay,Matt Giers,Drawing for Season 1 & Season 2 players for the 10th Anniversary Tournament.,http://www.j-archive.com/showgame.php?game_id=1133,1133,10
2103,1993-10-27,Rachael Schwartz,Kathleen Shilkret,Bob Schwartz,Rachael Schwartz game 4.,http://www.j-archive.com/showgame.php?game_id=4427,4427,10
2102,1993-10-26,Rachael Schwartz,Jim Newman,Denise Rechter,Rachael Schwartz game 3. Missing contestant introductions & first 11...,http://www.j-archive.com/showgame.php?game_id=6153,6153,10
2088,1993-10-06,Joy Bell,Bob Olivier,Curt Kronish,,http://www.j-archive.com/showgame.php?game_id=4957,4957,10
